error<br>Error validating access token: The user has not authorized application 483975525054185.<br>OAuthException<br>190<br>20160314080004 SAVE: 10_525978864088811_DataFb COUNT:0
20160314080213 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080214 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080214 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080214 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080215 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080215 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080216 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080216 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080216 SAVE: 12_134025370859_DataFb_Posts COUNT:12
20160314080217 SAVE: 12_134025370859_DataFb_Posts COUNT:12
error<br>Error validating access token: The session has been invalidated because the user has changed the password.<br>OAuthException<br>190<br>20160314080218 SAVE: 25_119775097443_DataFb COUNT:0
error<br>Error validating access token: The session has been invalidated because the user has changed the password.<br>OAuthException<br>190<br>20160314080218 SAVE: 118_122814680445_DataFb COUNT:0
error<br>Error validating access token: The session has been invalidated because the user has changed the password.<br>OAuthException<br>190<br>20160314080219 SAVE: 119_173808419540_DataFb COUNT:0
error<br>Error validating access token: The session has been invalidated because the user has changed the password.<br>OAuthException<br>190<br>20160314080220 SAVE: 124_90749453828_DataFb COUNT:0
error<br>Error validating access token: The session has been invalidated because the user has changed the password.<br>OAuthException<br>190<br>20160314080221 SAVE: 127_30295903030_DataFb COUNT:0
error<br>Error validating access token: The user has not authorized application 483975525054185.<br>OAuthException<br>190<br>20160314080221 SAVE: 116_1496477167293681_DataFb COUNT:0
